id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11608,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19728456.0,19728456.0,False,,1,,,,2024-07-20T22:32:00.000Z,67167.1994710006,18916959040.040672,-48.8753,0.0920686,0.26782063,15.06103152,3.30088385,-3.97287542,3.42744249,1325105139406.8586,54.1725,1410511188891.01,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:40.092434
1027,Ethereum,ETH,ethereum,9150,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120226035.25070572,120226035.25070572,True,,2,,,,2024-07-20T22:31:00.000Z,3520.2020618097686,10460604447.575577,-40.923,0.10974739,0.03733483,11.81079634,0.10192537,-7.09461631,11.52291913,423219937172.74817,17.3,423219937172.75,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
825,Tether USDt,USDT,tether,92136,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,113877604814.3431,117072162581.58543,True,,3,,,,2024-07-20T22:31:00.000Z,1.0004955866975067,40460945869.57036,-37.1916,-0.00747123,-0.00395071,0.02039073,0.09567117,0.06377246,0.02907205,113934041040.43301,4.6573,117130181988.01,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-21 01:33:40.092434
1839,BNB,BNB,bnb,2196,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147581818.18378383,147581818.18378383,False,,4,,,,2024-07-20T22:31:00.000Z,594.3988404937402,1593692224.4259605,-22.1279,-0.09626451,0.07024465,12.48615827,0.365264,-3.51872373,2.39380672,87722461606.3991,3.5858,87722461606.4,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
5426,Solana,SOL,solana,707,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464348013.2231127,580595114.1207736,True,,5,,,,2024-07-20T22:31:00.000Z,173.9550240479645,1892558608.4306445,-47.9123,0.10196319,2.96516786,24.74139092,29.97752252,-2.40183032,16.28686657,80775669806.85112,3.3019,100997437039.01,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
3408,USDC,USDC,usd-coin,21075,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34119133671.382397,34119133671.382397,False,,6,,,,2024-07-20T22:31:00.000Z,0.9999595499797592,3894310838.7942157,-47.9283,-0.00465821,-0.00524819,-0.01407828,-0.02473018,-0.01537504,-0.01318625,34117753551.73479,1.3946,34117753551.73,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-21 01:33:40.092434
52,XRP,XRP,xrp,1355,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55909481874.0,99987431729.0,False,,7,,,,2024-07-20T22:32:00.000Z,0.596295615309665,1557596658.4619257,-32.8597,0.6825853,3.60276451,12.68931125,21.84960998,11.34168817,13.29671952,33338578895.701393,1.3629,59629561530.97,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:40.092434
74,Dogecoin,DOGE,dogecoin,1025,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145198436383.70523,145198436383.70523,True,,8,,,,2024-07-20T22:32:00.000Z,0.1342724412697088,1108539889.0543334,55.872,0.28111931,7.11798723,20.66197111,7.90849658,-20.15624374,-15.42515515,19496148521.78461,0.797,19496148521.78,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:40.092434
11419,Toncoin,TON,toncoin,466,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2514790901.1544957,5109277595.225424,True,,9,3414166606.0,24864968566.343773,,2024-07-20T22:31:00.000Z,7.282880842032281,138746911.25921518,-29.8462,0.04930291,-0.13769554,0.03269721,1.62412742,14.92347221,18.45922496,18314922475.735172,0.7487,37210259914.89,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
2010,Cardano,ADA,cardano,1214,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35889906639.389,37062184769.149,False,,10,,,,2024-07-20T22:31:00.000Z,0.4376480601831675,251025859.00011736,-26.3,0.38705632,-0.49029946,-0.32284557,13.58553761,-11.37311171,-12.76305241,15707148020.88358,0.6421,19694162708.24,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
1958,TRON,TRX,tron,1001,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87089141743.13487,87089149669.95306,True,,11,71659659264.0,9649187637.425539,,2024-07-20T22:31:00.000Z,0.1346529935605352,230150408.62395814,-23.4038,0.11954271,0.03066719,-4.0258345,15.29210665,8.95769932,20.86569019,11726813642.330877,0.4794,11726814709.7,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
5805,Avalanche,AVAX,avalanche,754,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394753425.20547134,444099795.20547134,False,,12,,,,2024-07-20T22:31:00.000Z,29.059208597822362,241768445.4886356,-28.1061,1.07248525,3.0943592,13.53170792,5.03644777,-29.45084211,-21.88586274,11471222127.75066,0.4689,20799091329.05,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:40.092434
5994,Shiba Inu,SHIB,shiba-inu,847,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270679731197.0,589519188836789.6,False,,13,,,,2024-07-20T22:31:00.000Z,1.815255107568366e-05,437058001.03538173,-27.2663,0.37374611,1.49371002,7.24394101,0.13054339,-28.97007723,-31.11865202,10696766111.223381,0.4373,10701277185.46,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-21 01:33:40.092434
6636,Polkadot,DOT,polkadot-new,794,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1471278872.153183,9321537704.725746,,2024-07-20T22:32:00.000Z,6.335670199004413,116050263.41590014,-30.9116,0.24240953,0.05711847,2.07714054,11.76170497,-16.73402467,-11.42642627,9110398702.675352,0.3724,9110398702.68,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:40.092434
1975,Chainlink,LINK,chainlink,1818,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-20T22:31:00.000Z,14.289887898516092,225946373.85690278,-26.211,0.35742885,1.74269497,10.65760009,-0.20013105,-14.22444099,-4.2733879,8689680408.861269,0.3552,14289887898.52,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-21 01:33:40.092434
1,Bitcoin,BTC,bitcoin,11608,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19728456.0,19728456.0,False,,1,,,,2024-07-20T22:32:00.000Z,67167.1994710006,18916959040.040672,-48.8753,0.0920686,0.26782063,15.06103152,3.30088385,-3.97287542,3.42744249,1325105139406.8586,54.1725,1410511188891.01,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:50.516969
1027,Ethereum,ETH,ethereum,9150,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120226035.25070572,120226035.25070572,True,,2,,,,2024-07-20T22:31:00.000Z,3520.2020618097686,10460604447.575577,-40.923,0.10974739,0.03733483,11.81079634,0.10192537,-7.09461631,11.52291913,423219937172.74817,17.3,423219937172.75,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
825,Tether USDt,USDT,tether,92136,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,113877604814.3431,117072162581.58543,True,,3,,,,2024-07-20T22:31:00.000Z,1.0004955866975067,40460945869.57036,-37.1916,-0.00747123,-0.00395071,0.02039073,0.09567117,0.06377246,0.02907205,113934041040.43301,4.6573,117130181988.01,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-21 01:33:50.516969
1839,BNB,BNB,bnb,2196,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147581818.18378383,147581818.18378383,False,,4,,,,2024-07-20T22:31:00.000Z,594.3988404937402,1593692224.4259605,-22.1279,-0.09626451,0.07024465,12.48615827,0.365264,-3.51872373,2.39380672,87722461606.3991,3.5858,87722461606.4,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
5426,Solana,SOL,solana,707,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464348013.2231127,580595114.1207736,True,,5,,,,2024-07-20T22:31:00.000Z,173.9550240479645,1892558608.4306445,-47.9123,0.10196319,2.96516786,24.74139092,29.97752252,-2.40183032,16.28686657,80775669806.85112,3.3019,100997437039.01,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
3408,USDC,USDC,usd-coin,21075,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34119133671.382397,34119133671.382397,False,,6,,,,2024-07-20T22:31:00.000Z,0.9999595499797592,3894310838.7942157,-47.9283,-0.00465821,-0.00524819,-0.01407828,-0.02473018,-0.01537504,-0.01318625,34117753551.73479,1.3946,34117753551.73,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-21 01:33:50.516969
52,XRP,XRP,xrp,1355,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55909481874.0,99987431729.0,False,,7,,,,2024-07-20T22:32:00.000Z,0.596295615309665,1557596658.4619257,-32.8597,0.6825853,3.60276451,12.68931125,21.84960998,11.34168817,13.29671952,33338578895.701393,1.3629,59629561530.97,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:50.516969
74,Dogecoin,DOGE,dogecoin,1025,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145198436383.70523,145198436383.70523,True,,8,,,,2024-07-20T22:32:00.000Z,0.1342724412697088,1108539889.0543334,55.872,0.28111931,7.11798723,20.66197111,7.90849658,-20.15624374,-15.42515515,19496148521.78461,0.797,19496148521.78,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:50.516969
11419,Toncoin,TON,toncoin,466,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2514790901.1544957,5109277595.225424,True,,9,3414166606.0,24864968566.343773,,2024-07-20T22:31:00.000Z,7.282880842032281,138746911.25921518,-29.8462,0.04930291,-0.13769554,0.03269721,1.62412742,14.92347221,18.45922496,18314922475.735172,0.7487,37210259914.89,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
2010,Cardano,ADA,cardano,1214,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35889906639.389,37062184769.149,False,,10,,,,2024-07-20T22:31:00.000Z,0.4376480601831675,251025859.00011736,-26.3,0.38705632,-0.49029946,-0.32284557,13.58553761,-11.37311171,-12.76305241,15707148020.88358,0.6421,19694162708.24,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
1958,TRON,TRX,tron,1001,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87089141743.13487,87089149669.95306,True,,11,71659659264.0,9649187637.425539,,2024-07-20T22:31:00.000Z,0.1346529935605352,230150408.62395814,-23.4038,0.11954271,0.03066719,-4.0258345,15.29210665,8.95769932,20.86569019,11726813642.330877,0.4794,11726814709.7,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
5805,Avalanche,AVAX,avalanche,754,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394753425.20547134,444099795.20547134,False,,12,,,,2024-07-20T22:31:00.000Z,29.059208597822362,241768445.4886356,-28.1061,1.07248525,3.0943592,13.53170792,5.03644777,-29.45084211,-21.88586274,11471222127.75066,0.4689,20799091329.05,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:50.516969
5994,Shiba Inu,SHIB,shiba-inu,847,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270679731197.0,589519188836789.6,False,,13,,,,2024-07-20T22:31:00.000Z,1.815255107568366e-05,437058001.03538173,-27.2663,0.37374611,1.49371002,7.24394101,0.13054339,-28.97007723,-31.11865202,10696766111.223381,0.4373,10701277185.46,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-21 01:33:50.516969
6636,Polkadot,DOT,polkadot-new,794,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1471278872.153183,9321537704.725746,,2024-07-20T22:32:00.000Z,6.335670199004413,116050263.41590014,-30.9116,0.24240953,0.05711847,2.07714054,11.76170497,-16.73402467,-11.42642627,9110398702.675352,0.3724,9110398702.68,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:50.516969
1975,Chainlink,LINK,chainlink,1818,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-20T22:31:00.000Z,14.289887898516092,225946373.85690278,-26.211,0.35742885,1.74269497,10.65760009,-0.20013105,-14.22444099,-4.2733879,8689680408.861269,0.3552,14289887898.52,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-21 01:33:50.516969
1,Bitcoin,BTC,bitcoin,11608,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19728456.0,19728456.0,False,,1,,,,2024-07-20T22:32:00.000Z,67167.1994710006,18916959040.040672,-48.8753,0.0920686,0.26782063,15.06103152,3.30088385,-3.97287542,3.42744249,1325105139406.8586,54.1725,1410511188891.01,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:34:00.971135
1027,Ethereum,ETH,ethereum,9150,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120226035.25070572,120226035.25070572,True,,2,,,,2024-07-20T22:31:00.000Z,3520.2020618097686,10460604447.575577,-40.923,0.10974739,0.03733483,11.81079634,0.10192537,-7.09461631,11.52291913,423219937172.74817,17.3,423219937172.75,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:34:00.971135
825,Tether USDt,USDT,tether,92136,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,113877604814.3431,117072162581.58543,True,,3,,,,2024-07-20T22:31:00.000Z,1.0004955866975067,40460945869.57036,-37.1916,-0.00747123,-0.00395071,0.02039073,0.09567117,0.06377246,0.02907205,113934041040.43301,4.6573,117130181988.01,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-21 01:34:00.971135
1839,BNB,BNB,bnb,2196,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147581818.18378383,147581818.18378383,False,,4,,,,2024-07-20T22:31:00.000Z,594.3988404937402,1593692224.4259605,-22.1279,-0.09626451,0.07024465,12.48615827,0.365264,-3.51872373,2.39380672,87722461606.3991,3.5858,87722461606.4,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:34:00.971135
5426,Solana,SOL,solana,707,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464348013.2231127,580595114.1207736,True,,5,,,,2024-07-20T22:31:00.000Z,173.9550240479645,1892558608.4306445,-47.9123,0.10196319,2.96516786,24.74139092,29.97752252,-2.40183032,16.28686657,80775669806.85112,3.3019,100997437039.01,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:34:00.971135
